Description,earliest_invoicedate,latest_invoicedate,unique_invoice_months,sum_quantity
CARAVAN SQUARE TISSUE BOX,2009-12-02 14:43:00,2011-12-09 10:26:00,25,2128
CARRIAGE,2009-12-03 18:13:00,2011-12-05 10:18:00,25,266
CARROT CHARLIE+LOLA COASTER SET,2009-12-01 09:24:00,2011-12-09 11:34:00,25,870
CARTOON  PENCIL SHARPENERS,2009-12-08 15:49:00,2011-12-09 10:03:00,23,4632
CERAMIC BOWL WITH LOVE HEART DESIGN,2009-12-01 14:19:00,2011-10-14 11:08:00,23,762
CERAMIC BOWL WITH STRAWBERRY DESIGN,2009-12-01 10:49:00,2011-12-08 10:39:00,25,2311
CERAMIC CAKE BOWL + HANGING CAKES,2009-12-01 10:49:00,2011-12-08 15:31:00,25,2403
CERAMIC CAKE DESIGN SPOTTED MUG,2009-12-01 14:19:00,2011-12-08 15:31:00,25,4574
CERAMIC CAKE DESIGN SPOTTED PLATE,2009-12-01 14:19:00,2011-12-08 09:28:00,25,2858
CERAMIC CAKE STAND + HANGING CAKES,2009-12-01 11:21:00,2011-12-07 14:34:00,25,2162
CERAMIC PLATE STRAWBERRY DESIGN,2009-12-03 14:39:00,2011-12-08 15:54:00,25,2999
CERAMIC STRAWBERRY TRINKET TRAY,2009-12-02 15:44:00,2011-12-06 16:26:00,25,430
CHARLIE & LOLA WASTEPAPER BIN BLUE,2009-12-01 09:24:00,2011-12-05 14:49:00,23,1503
CHARLIE & LOLA WASTEPAPER BIN FLORA,2009-12-01 09:24:00,2011-12-04 15:28:00,25,1740
CHARLIE + LOLA RED HOT WATER BOTTLE,2009-12-01 09:24:00,2011-12-09 11:20:00,25,3352
CHARLIE AND LOLA FIGURES TINS,2009-12-01 09:24:00,2011-09-02 09:38:00,22,2061
CHARLIE LOLA BLUE HOT WATER BOTTLE ,2009-12-01 09:24:00,2011-12-09 11:20:00,23,843
CHARLIE+LOLA MY ROOM DOOR SIGN,2009-12-01 13:29:00,2011-12-06 12:12:00,23,890
CHARLIE+LOLA PINK HOT WATER BOTTLE,2009-12-01 09:24:00,2011-12-09 11:20:00,25,3389
CHARLIE+LOLA RED HOT WATER BOTTLE ,2009-12-01 09:24:00,2011-12-09 11:20:00,24,1127
"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",2009-12-06 16:17:00,2011-12-09 11:34:00,23,1291
CHERRY BLOSSOM  DECORATIVE FLASK,2010-02-28 16:14:00,2011-12-01 16:22:00,23,803
CHERRY BLOSSOM LUGGAGE TAG,2009-12-02 14:43:00,2011-12-05 17:17:00,22,2006
CHERRY BLOSSOM PASSPORT COVER,2009-12-01 14:28:00,2011-12-08 20:01:00,25,287
CHERRY CROCHET FOOD COVER,2009-12-01 13:29:00,2011-12-09 10:03:00,25,1026
CHICK GREY HOT WATER BOTTLE,2009-12-01 10:59:00,2011-12-09 10:23:00,25,4752
CHILDS GARDEN FORK BLUE ,2010-03-25 14:12:00,2011-12-08 13:50:00,22,2231
CHILDS GARDEN FORK PINK,2010-03-25 14:12:00,2011-12-08 09:28:00,22,2178
CHILDS GARDEN RAKE PINK,2010-03-26 14:16:00,2011-12-06 13:20:00,22,815
CHILDS GARDEN SPADE BLUE,2010-03-28 11:30:00,2011-12-08 16:30:00,22,1092
CHILDS GARDEN SPADE PINK,2010-03-28 11:30:00,2011-12-06 14:23:00,22,1053
CHILLI LIGHTS,2009-12-01 14:56:00,2011-12-09 12:20:00,25,16695
CHINESE DRAGON PAPER LANTERNS,2009-12-01 17:45:00,2011-09-21 14:40:00,22,15694
CHOC TRUFFLE GOLD TRINKET POT ,2009-12-02 14:43:00,2011-12-08 19:24:00,25,1885
CHOCOLATE 3 WICK MORRIS BOX CANDLE,2009-12-06 12:14:00,2011-10-27 19:56:00,22,1005
CHOCOLATE BOX RIBBONS ,2009-12-01 12:33:00,2011-12-09 10:23:00,24,3972
CHOCOLATE CALCULATOR,2009-12-01 11:45:00,2011-12-09 10:03:00,25,3397
CHOCOLATE HOT WATER BOTTLE,2009-12-01 09:08:00,2011-12-09 11:26:00,25,11400
CHOCOLATE THIS WAY METAL SIGN,2009-12-01 11:37:00,2011-12-09 08:48:00,25,9833
CHRYSANTHEMUM  JOURNAL,2009-12-01 14:35:00,2011-12-06 12:56:00,23,623
CHRYSANTHEMUM NOTEBOOK,2009-12-01 11:51:00,2011-12-09 10:03:00,24,3666
CHRYSANTHEMUM POCKET BOOK ,2009-12-17 11:43:00,2011-12-07 13:53:00,23,5782
CHRYSANTHEMUM SKETCHBOOK ,2009-12-01 18:35:00,2011-12-05 17:17:00,25,447
CINAMMON SET OF 9 T-LIGHTS,2009-12-01 11:58:00,2011-12-08 13:50:00,25,2149
CINNAMON SCENTED VOTIVE CANDLE,2009-12-08 13:08:00,2011-12-06 15:43:00,23,2216
CITRONELLA CANDLE FLOWERPOT,2009-12-08 15:49:00,2011-12-06 16:26:00,25,2655
CITRONELLA CANDLE GARDEN POT,2009-12-07 12:08:00,2011-12-09 10:23:00,25,4254
CLAM SHELL SMALL ,2009-12-09 09:42:00,2011-12-08 15:31:00,25,361
CLASSIC FRENCH STYLE BASKET BROWN,2010-01-20 11:57:00,2011-12-01 16:22:00,22,353
CLASSIC METAL BIRDCAGE PLANT HOLDER,2009-12-02 09:57:00,2011-12-07 12:55:00,22,1723
COCKLE SHELL DISH,2009-12-01 13:31:00,2011-12-09 11:56:00,25,480
COFFEE MUG APPLES DESIGN,2009-12-01 11:45:00,2011-12-09 10:26:00,25,5313
COFFEE MUG BLUE PAISLEY DESIGN,2009-12-01 11:45:00,2011-12-09 10:26:00,24,2410
COFFEE MUG CAT + BIRD DESIGN,2009-12-01 10:59:00,2011-12-09 10:26:00,25,5075
COFFEE MUG DOG + BALL DESIGN,2009-12-01 10:59:00,2011-12-09 10:03:00,25,4166
COFFEE MUG PEARS  DESIGN,2009-12-01 11:45:00,2011-12-09 10:26:00,24,4896
COFFEE MUG PINK PAISLEY DESIGN,2009-12-01 11:45:00,2011-12-07 17:05:00,25,2282
COFFEE SCENT PILLAR CANDLE,2009-12-04 15:30:00,2011-12-08 16:30:00,25,588
COLOUR GLASS T-LIGHT HOLDER HANGING,2009-12-01 13:47:00,2011-12-09 10:03:00,25,40110
COLOUR GLASS. STAR T-LIGHT HOLDER,2009-12-01 11:21:00,2011-11-29 11:40:00,23,12191
COLOURING PENCILS BROWN TUBE,2009-12-01 11:45:00,2011-12-08 09:28:00,25,8741
COLUMBIAN CANDLE ROUND,2009-12-07 12:42:00,2011-12-08 16:30:00,25,1544
COOK WITH WINE METAL SIGN ,2009-12-01 11:45:00,2011-12-09 10:26:00,25,19569
COSMETIC BAG VINTAGE ROSE PAISLEY,2009-12-01 13:07:00,2011-12-09 10:03:00,25,1441
COSY HOUR CIGAR BOX MATCHES ,2009-12-01 11:57:00,2011-12-09 11:34:00,24,4070
COSY SLIPPER SHOES SMALL GREEN,2009-12-02 11:33:00,2011-12-09 10:03:00,22,510
COWBOYS AND INDIANS BIRTHDAY CARD ,2009-12-03 13:51:00,2011-12-09 10:03:00,25,8793
CRAZY DAISY HEART DECORATION,2009-12-04 09:43:00,2011-12-05 17:17:00,25,1609
CREAM CUPID HEARTS COAT HANGER,2009-12-01 16:34:00,2011-12-05 14:30:00,25,7160
CREAM HEART CARD HOLDER,2009-12-01 12:13:00,2011-12-08 18:43:00,24,18320
CREAM SLICE FLANNEL CHOCOLATE SPOT ,2009-12-02 12:13:00,2011-12-02 16:39:00,25,801
CREAM SLICE FLANNEL PINK SPOT ,2009-12-02 09:21:00,2011-12-06 16:26:00,25,2463
CREAM SWEETHEART MINI CHEST,2009-12-01 10:06:00,2011-12-09 10:45:00,25,3039
CRYSTAL SEA HORSE PHONE CHARM,2009-12-01 12:56:00,2011-12-08 16:58:00,23,263
CUPID DESIGN SCENTED CANDLES,2009-12-04 09:43:00,2011-12-08 20:01:00,24,710
CURIOUS IMAGES GIFT WRAP SET,2009-12-04 14:29:00,2011-12-09 10:03:00,23,882
CUTE CATS TAPE,2009-12-02 12:32:00,2011-12-08 10:53:00,25,1345
DAIRY MAID LARGE MILK JUG,2009-12-01 12:02:00,2011-12-07 11:42:00,25,930
DAIRY MAID STRIPE MUG,2009-12-09 09:42:00,2011-11-28 11:27:00,24,2476
DAIRY MAID TRADITIONAL TEAPOT ,2009-12-01 13:29:00,2011-12-09 10:03:00,25,878
DAISIES  HONEYCOMB GARLAND ,2009-12-06 15:24:00,2011-12-07 12:41:00,25,1560
DAISY GARDEN MARKER,2010-03-05 16:02:00,2011-12-08 16:30:00,22,1956
DAISY HAIR BAND,2009-12-07 18:02:00,2011-12-09 10:03:00,22,139
DAISY NOTEBOOK ,2009-12-06 13:29:00,2011-12-05 17:24:00,22,3611
DAISY SKETCHBOOK ,2009-12-07 11:19:00,2011-12-06 12:15:00,23,265
DANISH ROSE DECORATIVE PLATE,2010-02-08 13:56:00,2011-12-08 15:54:00,22,1016
DANISH ROSE DELUXE COASTER,2009-12-22 09:41:00,2011-12-08 15:54:00,23,1318
DANISH ROSE PHOTO FRAME,2009-12-02 14:21:00,2011-10-30 16:15:00,23,1683
